Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
30/3/2012,1365.75,1416,1351,1403,608188
6/4/2012,1407,1434.25,1406.5,1434,463293
13/4/2012,1431,1452.25,1415,1436.75,570713
20/4/2012,1434.5,1454,1403.75,1446.75,405346
27/4/2012,1446,1509,1433.75,1496.75,269196
4/5/2012,1490.25,1512.5,1458,1478.25,489266
11/5/2012,1470.25,1478.75,1402.5,1406,599630
18/5/2012,1406,1450,1376,1405,614475
25/5/2012,1413.75,1423,1351,1382,465305
1/6/2012,1383,1402,1317.5,1344.25,404052
8/6/2012,1350,1439,1331.5,1426.25,492826
15/6/2012,1426,1449.25,1370.5,1376,469333
22/6/2012,1383,1464.25,1375.25,1442.5,419423
29/6/2012,1461.5,1517.75,1455.75,1512.75,195902
6/7/2012,1492.75,1585.5,1485,1567.25,131614
13/7/2012,1588,1625.5,1553,1594.75,164236
20/7/2012,1613,1777.75,1610,1757.5,190345
27/7/2012,1761,1762.75,1618,1684.25,186332
3/8/2012,1698.75,1742,1601.25,1635.75,116192
10/8/2012,1608.75,1699.75,1570.25,1673.25,88548
17/8/2012,1662,1679.5,1610.25,1671,57077
24/8/2012,1670.25,1764.75,1667,1737.5,76528
31/8/2012,1748.25,1780.75,1710.75,1764.5,40138
7/9/2012,1771.5,1789,1725.5,1736.5,443202
14/9/2012,1728,1765.75,1693.5,1739,587316
21/9/2012,1733.25,1736.25,1607.5,1621.75,787894
28/9/2012,1621.75,1626,1557.5,1601,727003
5/10/2012,1596.5,1600,1504,1551.5,741635
12/10/2012,1553.5,1574,1510,1522.5,749948
19/10/2012,1519,1555.75,1485.75,1534.25,572737
26/10/2012,1530.75,1574.75,1526.5,1561.25,553969
2/11/2012,1559,1571.5,1524,1526.75,387656
9/11/2012,1520.75,1524.25,1449,1451.25,488163
16/11/2012,1448.25,1448.75,1372.25,1383.25,513817
23/11/2012,1386.75,1427,1380.75,1418.75,272793
30/11/2012,1419.75,1460,1416.75,1438.75,420182
7/12/2012,1443.75,1498.25,1436,1472.25,520943
14/12/2012,1470,1497,1453,1496,630257
21/12/2012,1496,1508.75,1402.75,1430.75,521949
28/12/2012,1432.5,1447.25,1415.75,1424,130640
4/1/2013,1423,1435,1356,1367.25,295841
11/1/2013,1367,1394.75,1351.5,1373.25,495978
18/1/2013,1377,1448,1376.5,1429.25,533511
25/1/2013,1440,1460.75,1415,1441,382088
1/2/2013,1446.5,1486.5,1434.75,1474.25,543756
8/2/2013,1483.75,1498,1451,1452.5,592535
15/2/2013,1450,1450.75,1404.5,1424.5,522055
22/2/2013,1432.5,1516.5,1432.25,1461.25,521529
1/3/2013,1461.25,1487.75,1433,1443.5,300009
8/3/2013,1440.5,1484.75,1434.25,1471,480665
15/3/2013,1474.5,1484,1422.5,1426,456175
22/3/2013,1424,1451.5,1403,1440.5,464568
29/3/2013,1440.5,1459.75,1397,1404.75,339032
5/4/2013,1401.5,1408.25,1354.5,1361.75,493121
12/4/2013,1360.25,1419,1356.25,1413,568070
19/4/2013,1413,1441.5,1389,1428.25,413768
26/4/2013,1424,1432,1402,1430.75,312622
3/5/2013,1430,1488.75,1365.5,1387.25,309893
10/5/2013,1382.75,1419.5,1366.25,1399,403033
17/5/2013,1394,1450,1393.5,1448.5,433893
24/5/2013,1446.25,1546.75,1443.25,1476.25,655960
31/5/2013,1475,1528.5,1472.5,1510,319061
7/6/2013,1509.5,1549,1509,1528.25,399405
14/6/2013,1522.75,1558.75,1502.5,1516.5,444049
21/6/2013,1508.25,1530,1488.75,1493.25,285180
28/6/2013,1489.75,1574.5,1485.5,1564.5,214580
5/7/2013,1426,1453.75,1420.75,1432,74837
12/7/2013,1432,1479.5,1426,1429,170709
19/7/2013,1424,1492.75,1419.5,1490.75,137375
26/7/2013,1491,1526.25,1330.5,1349.75,178499
2/8/2013,1345.5,1379.75,1207.75,1212.75,65508
9/8/2013,1212.25,1241,1186.5,1218.5,72512
16/8/2013,1224,1296,1217.25,1283.25,69495
23/8/2013,1296.5,1369,1295,1365.25,81710
30/8/2013,1382.5,1453.75,1382.25,1424,46069
6/9/2013,1394,1408.5,1335,1367.75,535767
13/9/2013,1382,1400,1340.25,1381.5,580676
20/9/2013,1374,1375.25,1311.75,1315.25,581206
27/9/2013,1310,1328,1305.25,1319.75,418761
4/10/2013,1312.75,1317,1263.5,1295,646761
11/10/2013,1292.25,1305.75,1266,1266.75,683121
18/10/2013,1263.75,1301.5,1261.75,1291.25,573071
25/10/2013,1289,1318.75,1288.5,1300,571940
1/11/2013,1300,1301.25,1250.25,1251.5,433564
8/11/2013,1252,1297.5,1247,1296,482048
15/11/2013,1295,1321.5,1278,1280.5,478827
22/11/2013,1280,1322,1268.25,1319.5,481990
29/11/2013,1318.5,1341,1309.25,1336.5,375969
6/12/2013,1335.75,1346,1311.25,1325.5,496661
13/12/2013,1324.75,1353.5,1312.25,1327.5,582779
20/12/2013,1328,1351,1315.75,1339,508498
27/12/2013,1343.5,1347,1316.75,1331.5,167697
3/1/2014,1324.75,1333.25,1262.5,1271.25,255225
10/1/2014,1274,1297,1266,1278.5,425338
17/1/2014,1278.75,1330.5,1266.5,1316.5,511052
24/1/2014,1313,1314,1263.5,1284.75,440168
31/1/2014,1286,1293,1260,1282.75,449533
7/2/2014,1281.75,1334.5,1278.5,1331.5,516116
14/2/2014,1327,1356,1312.5,1337.5,646972
21/2/2014,1337.25,1372.25,1335.5,1370.75,380114
28/2/2014,1370.25,1452.25,1369.25,1414.25,306235
7/3/2014,1419,1460,1402,1457.75,492676
14/3/2014,1454.5,1456.25,1365.5,1388.5,575424
21/3/2014,1388,1456.5,1375.5,1408.75,436779
28/3/2014,1404.5,1450.5,1393.25,1436.5,329459
4/4/2014,1433.5,1496,1423,1473.75,488089
11/4/2014,1472.25,1512,1459.5,1463,482316
18/4/2014,1462.25,1531.75,1461.25,1514,320606
25/4/2014,1515,1525,1464,1498,336647
2/5/2014,1502.25,1532,1451,1470.75,329985
9/5/2014,1475.5,1491.5,1441.75,1487,423012
16/5/2014,1487,1496,1460.5,1465,394832
23/5/2014,1463.75,1536.75,1456.25,1515.5,461709
30/5/2014,1510.5,1515.5,1482.75,1493.25,252166
6/6/2014,1488,1511.75,1456,1457,432745
13/6/2014,1458.25,1475.25,1410,1425.75,505535
20/6/2014,1427.75,1435.5,1393.5,1415.75,351540
27/6/2014,1423,1440.75,1404.5,1432,271445
4/7/2014,1434.5,1448,1297.25,1299.75,111481
11/7/2014,1287.5,1290,1159.25,1195.75,180369
18/7/2014,1193.25,1211.5,1153.25,1176.75,138218
25/7/2014,1173.75,1232.75,1166,1212.25,116748
1/8/2014,1219,1242.25,1069.75,1073.5,81573
8/8/2014,1071,1114.5,1068.5,1113.75,49855
15/8/2014,1110.25,1128.75,1071.25,1102.5,67784
22/8/2014,1101.75,1170.5,1099,1166,87693
29/8/2014,1161.5,1189.25,1064.25,1089.5,39437
5/9/2014,1020.75,1038,1001.25,1021.5,434265
12/9/2014,1020.75,1028,969.5,985.25,526546
19/9/2014,976.75,999.75,956,957,468356
26/9/2014,953,954.75,909.75,910.25,537507
3/10/2014,907.25,930,904,912.25,605143
10/10/2014,914,955,912.25,922.5,809606
17/10/2014,920,978.5,915.75,951.75,831693
24/10/2014,950,1002,936,977.5,824371
31/10/2014,973.5,1053.75,967.75,1046.5,546876
7/11/2014,1044,1047.75,995.25,1036.75,593304
14/11/2014,1035.5,1086.25,1020,1022.5,704055
21/11/2014,1023,1042,1003.75,1039,500095
28/11/2014,1036.25,1054.75,1013,1016,334514
5/12/2014,1010.75,1040.75,983.75,1036,587084
12/12/2014,1035,1060.25,1025.75,1047.25,654461
19/12/2014,1050,1055,1015,1030.5,550068
26/12/2014,1029,1048.5,1025.25,1047.5,216172
2/1/2015,1045.75,1061.75,1005.5,1007.5,190747
9/1/2015,1007,1062,1006.25,1052.25,434801
16/1/2015,1049.5,1061.5,983,991.75,667700
23/1/2015,982,992.5,967.25,972.75,423190
30/1/2015,971.75,985.5,955,961,499848
6/2/2015,961,999,956.5,973.5,597941
13/2/2015,973.5,997.75,966,990.5,717864
20/2/2015,992,1017,990.75,999.25,429312
27/2/2015,1000.5,1035.5,992,1030.75,309504
6/3/2015,1030,1039,976.75,985,546038
13/3/2015,985.25,999,972.5,974,528233
20/3/2015,972.5,980.25,953.5,973.75,536114
27/3/2015,974.5,990,965,967.25,498495
3/4/2015,968,993,951.25,986,529723
10/4/2015,985,990.25,944.5,951.5,571794
17/4/2015,948,976.75,945.75,968.75,582037
24/4/2015,968,983,965.25,969.75,432595
1/5/2015,968,997.25,961.25,964.75,298458
8/5/2015,964.75,990.5,962.75,976.25,486545
